Date,Open,High,Low,Close,Volume
01-01-2026,100,105,98,103,12000
02-01-2026,103,108,101,107,15000
03-01-2026,107,110,104,109,18000
04-01-2026,109,112,106,108,16000
05-01-2026,108,115,107,113,20000
06-01-2026,113,118,111,117,22000
07-01-2026,117,120,114,115,19000
08-01-2026,115,119,112,118,21000
09-01-2026,118,123,116,121,25000
10-01-2026,121,125,119,124,27000
11-01-2026,124,127,120,122,23000
12-01-2026,122,126,118,125,26000
13-01-2026,125,130,123,129,28000
14-01-2026,129,133,126,131,30000
15-01-2026,131,135,128,134,32000
